Student ID, Assigned Comment IDs
300009553_1507391,[]
300009554_1507454,[3f3054e8]
300009555_1507599,[a3041386]
300009556_1507555,[a3041386]
300009557_1507608,[]
300009558_1507545,[]
300009559_1507385,[]
300009560_1507444,[]
300009561_1507505,[]
300009562_1507382,[]
300009563_1507596,[]
300009564_1507438,[]
300009565_1507330,[]
300009566_1507497,[]
300009567_1507396,[]
300009568_1507441,[]
300009569_1507457,[]
300009570_1507598,[]
300009571_1507440,[]
300009572_1507342,[]
300009573_1507501,[]
300009574_1507443,[]
300009575_1507550,[]
300009576_1507601,[]
